camis,inspection_date,dba,boro,cuisine,zipcode,score,grade,action,inspection_type,latitude,longitude,n_violations,n_critical,year
40365726,2022-10-26,BARBETTA,Manhattan,Italian,,21.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2022.0
40365882,2023-01-26,NEW YORK PIZZA SUPREMA,Manhattan,Pizza,10001.0,31.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.750031951553,-73.995040989424,1,0,2023.0
40380164,2024-03-22,CUCHIFRITOS,Bronx,Spanish,,32.0,C,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,,,2,2,2024.0
40380164,2024-07-29,CUCHIFRITOS,Bronx,Spanish,,,,No violations were recorded at the time of this inspection.,Administrative Miscellaneous / Initial Inspection,,,0,0,2024.0
40387418,2023-04-03,TAL BAGELS DELI,Manhattan,Bagels/Pretzels,,14.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2023.0
40392872,2025-07-14,MOLLY'S,Manhattan,Irish,10010.0,,,No violations were recorded at the time of this inspection.,Administrative Miscellaneous / Initial Inspection,40.738373862011,-73.983465650986,0,0,2025.0
40396622,2025-06-27,MEDITERRANEO,Manhattan,Italian,10065.0,0.0,Z,Establishment re-opened by DOHMH.,Cycle Inspection / Reopening Inspection,40.765072225292,-73.961069799916,0,0,2025.0
40399422,2025-07-01,PIZZA CHEF,Queens,Pizza,11357.0,,,Violations were cited in the following area(s).,Administrative Miscellaneous / Initial Inspection,40.786929015003,-73.808328935438,1,0,2025.0
40403419,2023-10-03,AIR INDIA LOUNGE,Queens,Indian,,23.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2023.0
40536414,2023-03-21,LA CABANA,Brooklyn,Latin American,,31.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2023.0
40536414,2024-11-14,LA CABANA,Brooklyn,Latin American,,31.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2024.0
40550765,2025-08-19,ARETSKY'S PATROON,Manhattan,American,,11.0,A,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2025.0
40557901,2022-09-12,LA ISLA CUCHIFRITOS,Bronx,Latin American,,31.0,C,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,,,1,1,2022.0
40557901,2023-05-17,LA ISLA CUCHIFRITOS,Bronx,Latin American,,,,No violations were recorded at the time of this inspection.,Administrative Miscellaneous / Initial Inspection,,,0,0,2023.0
