"camis","dba","boro","building","street","zipcode","phone","cuisine_description","inspection_date","action","violation_code","violation_description","critical_flag","score","grade","grade_date","record_date","inspection_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","location"
"40365726","BARBETTA","Manhattan","319321","323 W. 46TH ST.",,"2122469171","Italian","2022-10-26T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","21",,,"2025-10-22T06:00:09.000","Cycle Inspection / Initial Inspection","0","0",,,,,"1",,
"50176899","Wingstop","Brooklyn","1902","RALPH AVENUE","11236","4195311818",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.630767363675","-73.918474416263","318","46","072000","3214956","3077630001","BK58","POINT (-73.918474416263 40.630767363675)"
"50102205","CHUNG CHING","Bronx","26266","ALEXANDER AVE",,"3479676666","Chinese","2022-06-01T00:00:00.000","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical","42",,,"2025-10-22T06:00:09.000","Pre-permit (Operational) / Initial Inspection","0","0",,,,,"2",,
"50170231","NEROLAB","Manhattan","340","WEST   40 STREET","10018","9176732263",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.756457261114","-73.99196880133","104","03","011500","1013693","1007630060","MN15","POINT (-73.99196880133 40.756457261114)"
"41543970","PAUSE CAFE","Manhattan","3","CLINTON SREET",,"2126775415","Middle Eastern","2021-12-22T00:00:00.000","Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical","19",,,"2025-10-22T06:00:09.000","Cycle Inspection / Initial Inspection","0","0",,,,,"1",,
"50177963","EL CHAPIN 2025","Brooklyn","3917","4 AVENUE","11232","3476004551",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.652468998942","-74.00631039332","307","38","008400","3010521","3007090003","BK32","POINT (-74.00631039332 40.652468998942)"
"40550765","ARETSKY'S PATROON","Manhattan","158160","EAST   46 STREET",,"2128837373","American","2025-08-19T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","11","A","2025-08-19T00:00:00.000","2025-10-22T06:00:09.000","Cycle Inspection / Initial Inspection","0","0",,,,,"1",,
"50160412","TOYO RAMEN BAR","Brooklyn","349","7 AVENUE","11215","8573089796",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.666194419994","-73.982142691998","306","39","015100","3026127","3010940010","BK37","POINT (-73.982142691998 40.666194419994)"
"50172253","NYC GOTHAM FOODS INC.","Manhattan","151","EAST  125 STREET","10035","7324062445",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.804193469515","-73.936982842861","111","08","019600","1087143","1017747501","MN34","POINT (-73.936982842861 40.804193469515)"
"50177600","LISETTE GARCIA","0","N/A","N/A","N/A","3478053506",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,,,,,,,,,
"50122424","ADMIRAL'S CLUB","Queens",,"TERMINAL B","11371","7184065129",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,,,,,,,,,
"50166647","NB'S CRAB INC","Queens","133-35","ROOSEVELT AVENUE","11354","3473684442",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.758501995257","-73.833241808988","407","20","087100","4112276","4049730016","QN22","POINT (-73.833241808988 40.758501995257)"
"50066463","CAFE 53","Manhattan","1301","AVE OF TH AMER",,"2123507441","American","2024-03-28T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","13","A","2024-03-28T00:00:00.000","2025-10-22T06:00:09.000","Cycle Inspection / Re-inspection","0","0",,,,,"1",,
"50171312","RONALD BAKERY CORP","Bronx","790","LYDIG AVENUE","10462","9175290966",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.854416937911","-73.864232878038","211","13","022800","2048825","2042920024","BX49","POINT (-73.864232878038 40.854416937911)"
"50172459","CAFFE SPARROW LLC","Queens","3008","37TH ST","11103","9174781522",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.764107386728","-73.917032651871","401","22","006300","4010016","4006510049","QN70","POINT (-73.917032651871 40.764107386728)"
"50174576","LUCYS COFFEE CORPORATION","Brooklyn","2105","ATLANTIC AVENUE","11233","3473610613",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.676280294918","-73.909780570846","316","37","036900","3042636","3015690001","BK79","POINT (-73.909780570846 40.676280294918)"
"50159621","LE BASQUE","Manhattan","15","UNION SQUARE WEST","10003","6467722425",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.735783666285","-73.991296531347","105","02","005200","1016065","1008427502","MN13","POINT (-73.991296531347 40.735783666285)"
"50106366","FONDA GARIBALDI","Brooklyn","6732","13 AVENUE","11219","6463016997",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.624554701242","-74.003015180853","310","43","019600","3142872","3057670055","BK30","POINT (-74.003015180853 40.624554701242)"
"50169023","CAFE BON AMI","Manhattan","139","ORCHARD STREET","10002","2015395127",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.720034027074","-73.989260331808","103","01","001800","1088498","1004150067","MN27","POINT (-73.989260331808 40.720034027074)"
"50166209","MACCA RESTAURANT","Bronx","611","MORRIS PARK AVENUE","10460","3477099909",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.844226004348","-73.869201751014","211","15","022000","2042503","2040110038","BX17","POINT (-73.869201751014 40.844226004348)"
"50136993","CAFFE CORRETTO","Brooklyn","6502","20 AVENUE","11204","9178372904","Coffee/Tea","2025-07-17T00:00:00.000","No violations were recorded at the time of this inspection.",,,"Not Applicable",,,,"2025-10-22T06:00:09.000","Smoke-Free Air Act / Re-inspection","40.616421085504","-73.985970498267","311","43","025600","3133959","3055550035","BK28","POINT (-73.985970498267 40.616421085504)"
"41194745","GOLDEN PALACE GOURMET","Queens","14009","CHERRRY AVENUE",,"7188864383","Chinese","2023-05-10T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","34","C","2023-05-10T00:00:00.000","2025-10-22T06:00:09.000","Cycle Inspection / Re-inspection","0","0",,,,,"4",,
"50171444","CHICKEN/FRIES CONCESSION","Manhattan","4","PENN PLZ","10121","2124656000",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.750654836632","-73.991944239076","105","03","010100","1082908","1007810001","MN17","POINT (-73.991944239076 40.750654836632)"
"50166455","TEXMEX CHICKEN & BURRITO","Queens","99","HILLSIDE AVENUE","11697","3479557057",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.566908902188","-73.89094281781","414","32","091601","4620161","4163400050","QN10","POINT (-73.89094281781 40.566908902188)"
"50164043","JACOBS PICKLES","Queens","JFK","International Airport Terminal 5","11431","7037237264",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,,,,,,,,,
"50143764","Cafe 98/AL Legacy Enterprises","Brooklyn","371","EAST   98 STREET","11212","3473935339",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.659160645249","-73.916406789042","316","41","089400","3348059","3035940007","BK81","POINT (-73.916406789042 40.659160645249)"
"50061477","CITI FIELD VIP LOUNGE","Queens","0","126 STREET & ROOSEVELT AVENUE",,"7185958100","American","2024-09-20T00:00:00.000","No violations were recorded at the time of this inspection.",,,"Not Applicable","0","A","2024-09-20T00:00:00.000","2025-10-22T06:00:09.000","Cycle Inspection / Initial Inspection","0","0",,,,,"4",,
"50155115","MOKA & CO","Manhattan","416","3 AVENUE","10016","6465967010","Coffee/Tea","2025-05-15T00:00:00.000","Establishment re-opened by DOHMH.",,,"Not Applicable","0",,,"2025-10-22T06:00:09.000","Pre-permit (Operational) / Reopening Inspection","40.742677159922","-73.980353812172","106","02","007200","1018263","1008850042","MN20","POINT (-73.980353812172 40.742677159922)"
"50177599","HIMALAYANGREENS INC","Manhattan","1425","YORK AVENUE","10021","5302823996",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.769221617874","-73.952023757854","108","05","013200","1045934","1014700025","MN31","POINT (-73.952023757854 40.769221617874)"
"50164440","Maurizio's On The Water","Queens","15411","POWELLS COVE BLVD","11357","7187673100",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.795975241885","-73.80639942985","407","19","098700","4522578","4045310400","QN49","POINT (-73.80639942985 40.795975241885)"
"50148716","DELTA JFK","Queens","JFK","INTERNATIONAL AIRPORT","11430","7043285184",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.648312826068","-73.788281497594","483","28","071600","4000000","4142600001","QN98","POINT (-73.788281497594 40.648312826068)"
"50166830","BUTTER SMASHBURGERS","Manhattan","17","SAINT MARKS PLACE","10003","4159904154",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.729116423896","-73.988883626164","103","02","003800","1006755","1004640051","MN22","POINT (-73.988883626164 40.729116423896)"
"50176026","NEW IPOH KITCHEN ASIAN CUISINE INC.","Brooklyn","6415","20 AVENUE","11204","6467732563",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.61696173421","-73.985379663527","311","43","025400","3133621","3055490004","BK28","POINT (-73.985379663527 40.61696173421)"
"50172187","CROWN FRIED CHICKEN AND PIZZA FLAVOR INC","Queens","10613","GUY R BREWER BLVD","11433","9293588154",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.699374954985","-73.793290342752","412","27","025400","4216314","4101610065","QN01","POINT (-73.793290342752 40.699374954985)"
"50149111","KUKIN BAR LOUNGE","Queens","18223","JAMAICA AVE","11423","3476518174",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.708843773439","-73.778241526024","412","23","047000","4211802","4099000001","QN61","POINT (-73.778241526024 40.708843773439)"
"50135265","ELLA FUNT","Manhattan","80","EAST    4 STREET","10003","6465925833",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.726379987982","-73.989919549431","103","02","003800","1006574","1004590029","MN22","POINT (-73.989919549431 40.726379987982)"
"50176253","MEXI-CORNER INC","Manhattan","100","WEST   83 STREET","10024","6468069948",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.78470363176","-73.974029222509","107","06","016900","1032074","1012130035","MN12","POINT (-73.974029222509 40.78470363176)"
"50104509","CHELSEA PIERS GOLF BAR AND LOUNGEQ","Manhattan","59","CHELSEA PIERS","10011","2123366831",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2025-10-22T06:00:14.000",,"40.747992386672","-74.008495743918","104","03","009900","1000000","1006620011","MN13","POINT (-74.008495743918 40.747992386672)"
